层次结构	注释	批注
«知识体»通用高中知识体17版		
├«知识域»语文		
├«知识域»英语		
┊├«知识区»听力		
┊┊├«知识点»听懂所熟悉话题的简短独白和对话		
┊┊├«知识点»理解主旨和要以		
┊┊├«知识点»获取具体的事实性的信息		
┊┊├«知识点»对所听内容作出推断		
┊┊├«知识点»理解说话者的意图、观点和态度		
┊├«知识区»完形填空		
┊┊├«知识点»说明文完形填空		
┊┊├«知识点»记叙文完形填空		
┊┊├«知识点»议论文完形填空		
┊┊├«知识点»夹叙夹议完形填空		
┊┊├«知识点»名词辨析		
┊┊├«知识点»形容词辨析		
┊┊├«知识点»动词辨析		
┊┊├«知识点»副词辨析		
┊┊├«知识点»上下文逻辑		
┊├«知识区»阅读理解		
┊┊├«知识点»理解主旨和要义		
┊┊├«知识点»理解文中具体信息		
┊┊├«知识点»根据上下文推断词义		
┊┊├«知识点»作出判断和推理		
┊┊├«知识点»理解文章的基本结构		
┊┊├«知识点»理解作者的观点，态度		
┊┊├«知识点»例证题		
┊├«知识区»信息匹配		
┊┊├«知识点»标题		
┊┊├«知识点»段首设空		
┊┊├«知识点»段中设空		
┊┊├«知识点»段尾设空		
┊├«知识区»短文填空	→词法/→句法  	
┊├«知识区»短文改错		
┊┊├«知识点»时态语态错误		
┊┊├«知识点»动词平行结构错误		
┊┊├«知识点»非谓语动词误用		
┊┊├«知识点»名词的单复数错误		
┊┊├«知识点»名词所有格错误		
┊┊├«知识点»形容词，副词误用		
┊┊├«知识点»比较级误用		
┊┊├«知识点»介词误用或是漏用		
┊┊├«知识点»连词误用或是漏用		
┊┊├«知识点»主谓不一致		
┊┊├«知识点»代词指代错误		
┊┊├«知识点»定语从句成分多余		
┊├«知识区»书面表达		
┊┊├«知识点»记叙文		
┊┊├«知识点»说明文		
┊┊├«知识点»议论文		
┊┊├«知识点»应用文		
┊├«知识区»单项选择	→词法/→句法  	
┊├«知识区»单句填空	→词法/→句法  	
┊├«知识区»单句改错		
┊┊├«知识点»时态语态错误		
┊┊├«知识点»动词平行结构错误		
┊┊├«知识点»非谓语动词误用		
┊┊├«知识点»名词的单复数错误		
┊┊├«知识点»名词所有格错误		
┊┊├«知识点»形容词，副词误用		
┊┊├«知识点»比较级误用		
┊┊├«知识点»介词误用或是漏用		
┊┊├«知识点»连词误用或是漏用		
┊┊├«知识点»主谓不一致		
┊┊├«知识点»代词指代错误		
┊┊├«知识点»定语从句成分多余		
┊├«知识区»翻译短语	→词法/→句法/→词汇及固搭	
┊├«知识区»翻译句子	→词法/→句法/→词汇及固搭	
┊├«知识区»句型转换	→词法/→句法  	
┊├«知识区»完成句子	→词法/→句法/→词汇及固搭	
┊├«知识区»词法		
┊┊├«知识点»构词法		
┊┊┊├«知识亚点»合成法		
┊┊┊├«知识亚点»派生法		
┊┊┊├«知识亚点»转化法		
┊┊┊├«知识亚点»缩写和简写		
┊┊├«知识点»冠词		
┊┊┊├«知识亚点»不定冠词		
┊┊┊├«知识亚点»定冠词		
┊┊┊├«知识亚点»零冠词		
┊┊├«知识点»名词		
┊┊┊├«知识亚点»名词的基本用法		
┊┊┊├«知识亚点»名词的数		
┊┊┊├«知识亚点»名词所有格		
┊┊┊├«知识亚点»专有名词		
┊┊┊├«知识亚点»名词辨析		
┊┊├«知识点»代词		
┊┊┊├«知识亚点»人称代词		
┊┊┊├«知识亚点»物主代词		
┊┊┊├«知识亚点»反身代词		
┊┊┊├«知识亚点»指示代词		
┊┊┊├«知识亚点»不定代词		
┊┊┊├«知识亚点»疑问代词		
┊┊┊├«知识亚点»相互代词		
┊┊┊├«知识亚点»it用法		
┊┊┊┊├«知识次点»it作人称代词用法		
┊┊┊┊├«知识次点»it作形式主语/形式宾语		
┊┊┊┊├«知识次点»it在强调句型中使用		
┊┊├«知识点»形容词		
┊┊┊├«知识亚点»形容词基本用法		
┊┊┊├«知识亚点»形容词比较级，最高级		
┊┊┊├«知识亚点»形容词倍数表达		
┊┊├«知识点»副词		
┊┊┊├«知识亚点»副词的基本用法		
┊┊┊┊├«知识次点»时间副词，地点副词		
┊┊┊┊├«知识次点»疑问副词		
┊┊┊┊├«知识次点»副词的比较级，最高级		
┊┊┊┊├«知识次点»副词的倍数表达		
┊┊├«知识点»介词		
┊┊├«知识点»连词		
┊┊┊├«知识亚点»并列连词		
┊┊┊├«知识亚点»从属连词		
┊┊├«知识点»数词		
┊┊┊├«知识亚点»基数词		
┊┊┊├«知识亚点»序数词		
┊┊├«知识点»动词		
┊┊┊├«知识亚点»实义动词		
┊┊┊├«知识亚点»系动词		
┊┊┊├«知识亚点»助动词		
┊┊┊├«知识亚点»情态动词		
┊┊┊┊├«知识次点»情态动词的基本用法		
┊┊┊┊├«知识次点»情态动词表推测		
┊┊┊┊├«知识次点»表示祝福		
┊┊├«知识点»动词时态		
┊┊┊├«知识亚点»一般现在时		
┊┊┊├«知识亚点»现在进行时		
┊┊┊├«知识亚点»现在完成时		
┊┊┊├«知识亚点»现在完成进行时		
┊┊┊├«知识亚点»一般将来时		
┊┊┊├«知识亚点»一般过去时		
┊┊┊├«知识亚点»过去进行时		
┊┊┊├«知识亚点»过去完成时		
┊┊┊├«知识亚点»过去将来时		
┊┊┊├«知识亚点»过去完成进行时		
┊┊├«知识点»语态		
┊┊┊├«知识亚点»主动语态		
┊┊┊├«知识亚点»被动语态		
┊┊├«知识点»非谓语动词		
┊┊┊├«知识亚点»非谓语动词-不定式		
┊┊┊├«知识亚点»非谓语动词-doing		
┊┊┊├«知识亚点»非谓语动词-过去分词		
┊┊┊├«知识亚点»独立主格结构		
┊├«知识区»句法		
┊┊├«知识点»句子种类		
┊┊┊├«知识亚点»陈述句		
┊┊┊├«知识亚点»疑问句		
┊┊┊├«知识亚点»感叹句		
┊┊├«知识点»简单句（基本句型）		
┊┊├«知识点»并列句		
┊┊├«知识点»复合句		
┊┊┊├«知识亚点»主语从句		
┊┊┊├«知识亚点»宾语从句		
┊┊┊├«知识亚点»表语从句		
┊┊┊├«知识亚点»同位语从句		
┊┊┊├«知识亚点»定语从句		
┊┊┊├«知识亚点»定语从句与非谓语动词的转换		
┊┊┊├«知识亚点»定语从句与同位语从句的区别		
┊┊┊├«知识亚点»状语从句		
┊┊┊├«知识亚点»状语从句与非谓语动词的转换		
┊┊├«知识点»直接引语和间接引语		
┊┊├«知识点»虚拟语气		
┊┊├«知识点»特殊句型		
┊┊┊├«知识亚点»强调		
┊┊┊├«知识亚点»主谓一致		
┊┊┊├«知识亚点»倒装		
┊┊┊┊├«知识次点»完全倒装		
┊┊┊┊├«知识次点»部分倒装		
┊┊┊┊├«知识次点»形式倒装		
┊├«知识区»词汇/短语及固搭		
├«知识域»数学		
┊├«知识区»1.集合与常用逻辑用语	此处改为“1.集合与常用逻辑用语”	
┊┊├«知识主题» 集合	改为“集合”	
┊┊┊├«知识点»集合的概念		
┊┊┊┊├«知识亚点»元素与集合的概念		
┊┊┊┊├«知识亚点»元素与集合的关系		
┊┊┊┊├«知识亚点»集合中元素的特性		
┊┊┊├«知识点»集合间的基本关系		
┊┊┊┊├«知识亚点»集合间的关系的理解判断		
┊┊┊┊├«知识亚点»集合的个数		
┊┊┊┊├«知识亚点»集合间关系的参数问题		
┊┊┊├«知识点»集合间的计算		
┊┊┊├«知识点»韦恩图的应用		
┊┊┊├«知识点»集合中的新定义问题		
┊┊┊├«知识点»集合中的实际应用		
┊┊├«知识主题» 命题及其关系、充分条件与必要条件		
┊┊┊├«知识点»命题的基本概念		
┊┊┊├«知识点»命题的真假		
┊┊┊┊├«知识亚点»命题真假的判断		
┊┊┊┊├«知识亚点»命题真假的应用		
┊┊┊├«知识点»四种命题		
┊┊┊├«知识点»充分条件与必要条件的理解判断		
┊┊┊├«知识点»充分条件与必要条件的应用		
┊┊┊├«知识点»充要条件的理解和判断		
┊┊┊├«知识点»充要条件的应用		
┊┊├«知识主题» 简单的逻辑联结词、全称量词与存在量词	改为“简单的逻辑联结词、全称量词与存在量词”	
┊┊┊├«知识点»逻辑联结词和量词		
┊┊┊┊├«知识亚点»逻辑联结词的基本应用理解		
┊┊┊┊├«知识亚点»逻辑联结词与命题的真假关系		
┊┊┊├«知识点»量词和含量词的命题的理解和判断		
┊┊┊├«知识点»含有量词的命题的真假		
┊┊┊├«知识点»含有量词的命题的否命题的理解		
┊┊┊├«知识点»含有量词的命题的否命题的真假		
┊├«知识区»2.函数、导数及其应用	此处改为“2.函数、导数及其应用”	
┊┊├«知识主题» 函数及其表示	改为“函数及其表示	
┊┊┊├«知识点»映射		
┊┊┊├«知识点»函数的概念		
┊┊┊├«知识点»函数的定义域		
┊┊┊├«知识点»函数的值域		
┊┊┊┊├«知识亚点»函数的值域的求法		
┊┊┊┊├«知识亚点»函数的定义域与值域的综合		
┊┊┊├«知识点»函数的解析式		
┊┊┊┊├«知识亚点»函数图像与函数的解析式		
┊┊┊┊├«知识亚点»根据函数基本特征求函数解析式		
┊┊┊┊├«知识亚点»复合函数的解析式		
┊┊┊├«知识点»分段函数		
┊┊┊┊├«知识亚点»分段函数的值域		
┊┊┊┊├«知识亚点»分段函数的单调性		
┊┊┊┊├«知识亚点»分段函数的图像		
┊┊┊┊├«知识亚点»分段函数的恒成立		
┊┊┊┊├«知识亚点»分段函数的存在性问题		
┊┊┊├«知识点»抽象函数		
┊┊┊┊├«知识亚点»抽象函数的定义域		
┊┊┊┊├«知识亚点»抽象函数的值域		
┊┊┊┊├«知识亚点»抽象函数的单调性		
┊┊┊┊├«知识亚点»抽象函数的奇偶性		
┊┊┊┊├«知识亚点»抽象函数的关系应用		
┊┊┊├«知识点»函数的新定义问题		
┊┊┊├«知识点»函数的实际应用		
┊┊├«知识主题» 函数的性质	改为“函数的性质”	
┊┊┊├«知识点»函数的单调性		
┊┊┊┊├«知识亚点»函数的单调性的理解和判断		
┊┊┊┊├«知识亚点»复合函数的单调性		
┊┊┊┊├«知识亚点»函数的单调性的应用		
┊┊┊├«知识点»函数不等式		
┊┊┊├«知识点»函数的最值		
┊┊┊├«知识点»函数的奇偶性		
┊┊┊┊├«知识亚点»函数的奇偶性的理解		
┊┊┊┊├«知识亚点»函数的奇偶性的判断和证明		
┊┊┊┊├«知识亚点»函数的奇偶性与图像的关系		
┊┊┊┊├«知识亚点»函数的奇偶性的应用		
┊┊┊├«知识点»函数的周期性		
┊┊┊├«知识点»函数的对称性		
┊┊┊├«知识点»函数的图像		
┊┊┊┊├«知识亚点»函数的图象的作法		
┊┊┊┊├«知识亚点»函数的图象的变换		
┊┊┊┊├«知识亚点»函数的图象与函数方程及不等式		
┊┊┊├«知识点»函数性质的综合		
┊┊┊┊├«知识亚点»函数性质的综合判断		
┊┊┊┊├«知识亚点»函数性质的综合应用		
┊┊┊├«知识点»函数的恒成立问题		
┊┊┊├«知识点»函数的存在性问题		
┊┊┊├«知识点»根式		
┊┊├«知识主题» 指数与指数函数	改为“指数与指数函数”	
┊┊┊├«知识点»指数幂		
┊┊┊├«知识点»指数函数的定义及解析式		
┊┊┊├«知识点»指数函数的图象与性质		
┊┊┊├«知识点»指数函数的单调性		
┊┊┊├«知识点»指数函数的定义域和值域		
┊┊┊├«知识点»指数型复合函数的性质		
┊┊┊┊├«知识亚点»指数型复合函数的奇偶性		
┊┊┊┊├«知识亚点»指数型复合函数的值域		
┊┊┊┊├«知识亚点»指数型复合函数的单调性		
┊┊┊├«知识点»指数不等式		
┊┊┊├«知识点»指数方程		
┊┊┊├«知识点»指数函数中的恒成立问题		
┊┊┊├«知识点»指数函数的实际应用		
┊┊├«知识主题» 对数与对数函数	改为“对数与对数函数”	
┊┊┊├«知识点»对数		
┊┊┊├«知识点»对数函数的定义及解析式		
┊┊┊├«知识点»对数函数的定义域		
┊┊┊├«知识点»对数函数的单调性		
┊┊┊├«知识点»对数函数的图像		
┊┊┊├«知识点»对数函数的值域及最值		
┊┊┊├«知识点»对数型复合函数的性质		
┊┊┊┊├«知识亚点»对数型复合函数的奇偶性		
┊┊┊┊├«知识亚点»对数型复合函数的单调性		
┊┊┊┊├«知识亚点»对数型复合函数的值域		
┊┊┊├«知识点»对数不等式		
┊┊┊├«知识点»对数方程		
┊┊┊├«知识点»反函数		
┊┊┊├«知识点»对数函数中的恒成立		
┊┊├«知识主题» 二次函数与幂函数	改为“二次函数与幂函数”	
┊┊┊├«知识点»幂函数的定义		
┊┊┊├«知识点»幂函数的图象		
┊┊┊├«知识点»幂函数的性质		
┊┊┊┊├«知识亚点»幂函数的奇偶性		
┊┊┊┊├«知识亚点»幂函数的单调性		
┊┊┊├«知识点»二次函数的解析式		
┊┊┊├«知识点»二次函数的图象		
┊┊┊├«知识点»二次函数的单调性		
┊┊┊├«知识点»二次函数的值域		
┊┊┊├«知识点»二次函数的最值		
┊┊┊├«知识点»二次函数型复合函数的性质		
┊┊┊┊├«知识亚点»二次函数型指数复合函数		
┊┊┊┊├«知识亚点»二次函数型对数复合函数		
┊┊┊┊├«知识亚点»二次函数与其它函数的复合		
┊┊┊├«知识点»一元二次方程的根		
┊┊┊├«知识点»二次函数的实际应用题		
┊┊┊├«知识点»二次函数恒成立问题		
┊┊┊├«知识点»二次函数存在性问题		
┊┊├«知识主题» 函数与方程	改为“函数与方程”	
┊┊┊├«知识点»函数的零点的定义		
┊┊┊├«知识点»函数零点存在性定理		
┊┊┊├«知识点»函数零点与方程的根		
┊┊┊├«知识点»函数图象的交点与函数的零点		
┊┊┊├«知识点»二分法		
┊┊├«知识主题» 函数模型及其应用	改为“函数模型及其应用”	
┊┊┊├«知识点»常见基本函数模型的应用		
┊┊┊├«知识点»利率问题		
┊┊┊├«知识点»增长率问题		
┊┊┊├«知识点»函数模型的拟合		
┊┊┊├«知识点»指数函数、对数函数、幂函数的差异		
┊┊├«知识主题» 变化率与导数、导数的计算	改为“变化率与导数、导数的计算”	
┊┊┊├«知识点»变化率的概念		
┊┊┊├«知识点»导数的定义		
┊┊┊├«知识点»基本初等函数的导数公式		
┊┊┊├«知识点»导数的运算		
┊┊┊┊├«知识亚点»导数的运算法则		
┊┊┊┊├«知识亚点»简单复合函数的导数		
┊┊┊├«知识点»导数的几何意义		
